Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
C 	83333 	CSCE 	146 	002 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	10:05 am-11:20 am 	22 	23 	-1 	TBA 	08/21-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	W 	10:50 am-12:45 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	 
C 	83336 	CSCE 	146 	003 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	10:05 am-11:20 am 	22 	22 	0 	TBA 	08/21-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	W 	01:10 pm-03:05 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	 
C 	83337 	CSCE 	146 	004 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	01:15 pm-02:30 pm 	24 	24 	0 	TBA 	08/21-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	W 	03:30 pm-05:25 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	 
SR 	83352 	CSCE 	146 	005 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	01:15 pm-02:30 pm 	24 	15 	9 	TBA 	08/21-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	W 	05:50 pm-07:45 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	 
SR 	84800 	CSCE 	190 	001 	COL 	1.000 	30 - Columbia Full Term 	Computing in the Modern World 	T 	06:00 pm-06:50 pm 	200 	60 	140 	Marco Valtorta (P) 	08/21-12/05 	DMSB 123 	 
C 	83304 	CSCE 	201 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Security 	MWF 	12:00 pm-12:50 pm 	49 	49 	0 	Mohamed Alamir Sharaf (P) 	08/21-12/05 	SWGN 2A31 	 
SR 	83303 	CSCE 	204 	001 	COL 	3.000 	30 - Columbia Full Term 	Program Design and Development 	TR 	04:25 pm-05:40 pm 	25 	11 	14 	TBA 	08/21-12/05 	SWGN 2A22 	 
SR 	84838 	CSCE 	205 	001 	COL 	3.000 	30 - Columbia Full Term 	Business Applications Programming 	MW 	05:30 pm-06:45 pm 	35 	12 	23 	Christine M.G. Brown (P) 	08/21-12/05 	SMWALT 305 	 
SR 	84873 	CSCE 	206 	001 	COL 	3.000 	30 - Columbia Full Term 	Scientific Applications Programming 	TR 	08:30 am-09:45 am 	35 	34 	1 	TBA 	08/21-12/05 	SWGN 2A21 	 
SR 	84888 	CSCE 	210 	001 	COL 	3.000 	30 - Columbia Full Term 	Computer Hardware Foundations 	TR 	10:05 am-11:20 am 	35 	27 	8 	Caroline Merriam Eastman (P) 	08/21-12/05 	SWGN 2A19 	 
C 	84928 	CSCE 	211 	001 	COL 	3.000 	30 - Columbia Full Term 	Digital Logic Design 	TR 	10:05 am-11:20 am 	42 	42 	0 	Chin-Tser Huang (P) 	08/21-12/05 	300MN B103 	 
C 	90403 	CSCE 	211 	002 	COL 	3.000 	30 - Columbia Full Term 	Digital Logic Design 	TR 	04:25 pm-05:40 pm 	35 	35 	0 	TBA 	08/21-12/05 	SWGN 2A21 	 
C 	91982 	CSCE 	211 	003 	COL 	3.000 	30 - Columbia Full Term 	Digital Logic Design 	TR 	01:15 pm-02:30 pm 	35 	35 	0 	TBA 	08/21-12/05 	300MN B112 	 
SR 	95729 	CSCE 	211 	H01 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Digital Logic Design 	MW 	03:55 pm-05:10 pm 	25 	9 	16 	Manton M. Matthews (P) 	08/21-12/05 	SWGN 2A15 	SC Honors College
SR 	84942 	CSCE 	212 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Architecture 	TR 	10:05 am-11:20 am 	40 	38 	2 	TBA 	08/21-12/05 	300MN B110 	 
SR 	92563 	CSCE 	212 	002 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Architecture 	TR 	04:25 pm-05:40 pm 	30 	27 	3 	TBA 	08/21-12/05 	SWGN 2A15 	 
SR 	87712 	CSCE 	215 	801 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	13 	3 	TBA 	08/21-10/13 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	01:15 pm-02:05 pm 	  	  	  	TBA 	08/21-10/13 	SWGN 1D39 	 
SR 	87754 	CSCE 	215 	802 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	3 	13 	TBA 	08/21-10/13 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/21-10/13 	SWGN 1D39 	 
C 	87755 	CSCE 	215 	803 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	16 	0 	TBA 	08/21-10/13 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	03:25 pm-04:15 pm 	  	  	  	TBA 	08/21-10/13 	SWGN 1D39 	 
SR 	92538 	CSCE 	215 	804 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	8 	8 	TBA 	08/21-10/13 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	04:25 pm-05:15 pm 	  	  	  	TBA 	08/21-10/13 	SWGN 1D39 	 
SR 	87756 	CSCE 	215 	851 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	2 	14 	TBA 	10/20-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	01:15 pm-02:05 pm 	  	  	  	TBA 	10/20-12/05 	SWGN 1D39 	 
SR 	92541 	CSCE 	215 	852 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	0 	16 	TBA 	10/20-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	02:20 pm-03:10 pm 	  	  	  	TBA 	10/20-12/05 	SWGN 1D39 	 
SR 	92543 	CSCE 	215 	853 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	3 	13 	TBA 	10/20-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	03:25 pm-04:15 pm 	  	  	  	TBA 	10/20-12/05 	SWGN 1D39 	 
SR 	92544 	CSCE 	215 	854 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	TR 	11:40 am-12:30 pm 	16 	3 	13 	TBA 	10/20-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	TR 	04:25 pm-05:15 pm 	  	  	  	TBA 	10/20-12/05 	SWGN 1D39 	 
C 	84958 	CSCE 	240 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Software Engineering 	TR 	11:40 am-12:55 pm 	49 	49 	0 	Duncan A. Buell (P) 	08/21-12/05 	SWGN 2A31 	 
SR 	90404 	CSCE 	240 	002 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Software Engineering 	TR 	06:00 pm-07:15 pm 	35 	29 	6 	TBA 	08/21-12/05 	SWGN 2A21 	 
SR 	94655 	CSCE 	240 	003 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Software Engineering 	TR 	01:15 pm-02:30 pm 	30 	29 	1 	TBA 	08/21-12/05 	300MN B102 	 
SR 	97196 	CSCE 	274 	001 	COL 	3.000 	30 - Columbia Full Term 	Robotic Applications and Design 	TR 	02:50 pm-04:05 pm 	35 	28 	7 	TBA 	08/21-12/05 	SWGN 2A21 	 
SR 	83314 	CSCE 	311 	001 	COL 	3.000 	30 - Columbia Full Term 	Operating Systems 	TR 	08:30 am-09:45 am 	49 	28 	21 	John R. Rose (P) 	08/21-12/05 	SWGN 2A31 	 
SR 	94654 	CSCE 	311 	002 	COL 	3.000 	30 - Columbia Full Term 	Operating Systems 	TR 	10:05 am-11:20 am 	35 	27 	8 	TBA 	08/21-12/05 	SWGN 2A21 	 
C 	84966 	CSCE 	330 	001 	COL 	3.000 	30 - Columbia Full Term 	Programming Language Structures 	TR 	02:50 pm-04:05 pm 	49 	49 	0 	Marco Valtorta (P) 	08/21-12/05 	SWGN 2A27 	 
SR 	86670 	CSCE 	350 	001 	COL 	3.000 	30 - Columbia Full Term 	Data Structures and Algorithms 	TR 	11:40 am-12:55 pm 	49 	40 	9 	Yan Tong (P) 	08/21-12/05 	SWGN 2A27 	 
SR 	94916 	CSCE 	350 	002 	COL 	3.000 	30 - Columbia Full Term 	Data Structures and Algorithms 	TR 	02:50 pm-04:05 pm 	35 	6 	29 	TBA 	08/21-12/05 	300MN B101 	 
C 	87711 	CSCE 	355 	001 	COL 	3.000 	30 - Columbia Full Term 	Foundations of Computation 	MW 	03:55 pm-05:10 pm 	35 	35 	0 	Stephen A. Fenner (P) 	08/21-12/05 	SWGN 2A21 	 
